,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
ENSG00000103066.8,3028.69295412847,-0.127007570369737,0.108053107235128,-1.17541802933408,0.239827513884797,0.558501744591267,NA
ENSG00000265240.1,0.00867606354637278,-0.297131276305116,3.28763295822275,-0.090378482051032,0.927986455540121,NA,NA
ENSG00000243780.1,0.12945623525144,-0.0570589579966102,2.47230754831035,-0.023079231398863,0.981587072216653,NA,NA
ENSG00000178035.7,11566.0970601613,0.0576668475158767,0.0488267607186532,1.18105003623241,0.237582846647784,0.556414960718088,NA
ENSG00000223505.2,43.5003953119532,-0.22474279358837,0.205989107467117,-1.09104212524561,0.275254347005399,0.595102234812586,NA
ENSG00000259392.2,0.442738362172387,-0.218226711839866,1.78480688706123,-0.122269088841979,0.902685911819388,NA,NA
ENSG00000243352.2,1.06749557842068,0.244756584517633,0.752269212168021,0.325357705138897,0.744910361997989,NA,NA
ENSG00000124181.10,43011.1878552638,0.358632667501397,0.100982624580086,3.55142945623262,0.000383144685764239,0.0134684336999703,NA
ENSG00000243770.2,1.10991876348035,-0.190254071536292,1.52207402057948,-0.124996596068211,0.900526245149319,NA,NA
ENSG00000255872.3,0.0357731314781163,0.0285598260690011,3.28763295822275,0.00868704822950802,0.993068825515459,NA,NA
ENSG00000181514.6,1.47465249385346,0.8599845305878,0.537824672237995,1.59900535430856,0.109819412894406,NA,NA
ENSG00000177707.6,25.9627715537067,0.0779266097695518,0.877740252461137,0.0887809457878338,0.929256000943476,0.97735994077636,NA
ENSG00000258646.1,35.0843641414532,-0.0657607106103145,0.112909345914517,-0.582420437189507,0.5602835188191,0.81058959893448,NA
ENSG00000213719.4,18654.8176196843,-0.0812595399148996,0.128018357391615,-0.634749121692931,0.525592050888908,0.79118243760142,NA
ENSG00000224656.1,0.0210906592080531,-0.240555611708396,3.28763295822275,-0.0731698503954765,0.941670957957646,NA,NA
ENSG00000229224.1,0.0176350745176924,-0.297131276305116,3.28763295822275,-0.090378482051032,0.927986455540121,NA,NA
ENSG00000232391.1,0.0150881338900182,-0.0280158385277185,3.28763295822275,-0.0085215834260475,0.993200842440369,NA,NA
ENSG00000212544.1,22.5394403832627,-0.270077819288706,0.463095837417365,-0.583200705916297,0.559758196018819,0.810240309791435,NA
ENSG00000093134.9,251.925763499225,-0.0344113093472059,0.158105355872055,-0.217647967441741,0.827703407658769,0.940932269680422,NA
ENSG00000224646.2,7.81666906911438,0.541213488851654,0.223447933468408,2.42210111523888,0.0154310561726786,0.125140349502495,NA
ENSG00000163554.7,3.3725920778837,-1.29517317941501,2.18831194575158,-0.591859484169741,0.553944686544533,0.806669437544784,NA
ENSG00000229642.1,0.073427135091186,0.198290971612789,2.94174482469797,0.0674059048045228,0.946258568528206,NA,NA
ENSG00000260639.1,0.766114452690385,0.262831938951108,0.591128610244407,0.444627335568208,0.656589089516591,NA,NA
ENSG00000259369.1,0.0127029506274274,-0.084591503124438,3.28763295822275,-0.025730215081603,0.979472523680553,NA,NA
ENSG00000225704.2,13.7353319911989,0.133447941594154,0.231892694364628,0.57547281495777,0.564971571025723,0.813280299072292,NA
ENSG00000173327.3,10815.9076353504,-0.209609893035628,0.110883624689268,-1.89035931701388,0.058709920554534,0.267103425212463,NA
ENSG00000233021.2,0.0383972764844209,-0.609059493473032,3.28763295822275,-0.185257752678779,0.853026872875013,NA,NA
ENSG00000196366.1,49.0667796758105,-0.477036661775711,0.177199668262506,-2.69208552393576,0.0071006733975711,0.0787256179524546,NA
ENSG00000231217.1,1.15494323914899,-0.161396011796642,0.704845258078841,-0.228980772654342,0.818883860334524,NA,NA
ENSG00000268162.1,4.28092522411843,-0.0548392920994773,0.516608415252641,-0.106152533486429,0.915461330868906,0.97250167682091,NA
ENSG00000251482.1,0.126041940962871,-0.213022018322892,2.03335907942812,-0.104763600525887,0.916563393633174,NA,NA
ENSG00000075914.8,3601.66749004028,-0.0830883590110803,0.0550098930700497,-1.51042575024233,0.130934822149799,0.415522204487849,NA
ENSG00000163959.5,678.71789416269,0.107458646667939,0.0732705825203072,1.46660014117066,0.142484861620572,0.433453079636796,NA
ENSG00000116221.11,4072.82062814079,-0.0594262936301666,0.0570299945692253,-1.04201822355134,0.297403230083824,0.61562896738059,NA
ENSG00000268580.1,0.0134516454354302,-0.084591503124438,3.28763295822275,-0.025730215081603,0.979472523680553,NA,NA
ENSG00000145916.14,9344.9492804142,-0.0490771388760219,0.0576884923945979,-0.850726667293139,0.394921205976096,0.70045908926724,NA
ENSG00000215908.5,12668.1963852053,0.0210521124189,0.0805985786829031,0.261197067776155,0.793940539230961,0.92615532720988,NA
ENSG00000258794.3,3.32780197983994,1.2355714453109,1.06063827956795,1.1649319745599,0.244046529479526,0.563230861078493,NA
ENSG00000177855.8,189.596122007209,0.0706067995570086,0.12643701740094,0.558434555072664,0.576547682230864,0.820935426668576,NA
ENSG00000267406.1,0.029531485404759,-0.453095384889074,3.28763295822275,-0.137818117364905,0.890384165409773,NA,NA
ENSG00000271631.1,17.7506635251349,0.162837398084884,0.168195983751522,0.968140822705053,0.332974044501991,0.649891576013611,NA
ENSG00000267824.1,0.0147657427023795,-0.297131276305116,3.28763295822275,-0.0903784820510319,0.927986455540121,NA,NA
ENSG00000253263.1,47.0024528667478,0.172006950051757,0.241893154979668,0.711086471488681,0.477030652788185,0.761945126808818,NA
ENSG00000249456.1,495.72213074765,-0.27335361949812,0.130657305629514,-2.09214186823376,0.0364258268064599,0.205116457896469,NA
