"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VEZTP1",48.1698705372636,-0.00384017670392994,0.00649770067031105,-0.591005480057934,0.554516749155822,0.957691705607002
"TMEM170B",2212.40283861101,0.0155133111228708,0.00534278690773491,2.90359907493441,0.00368900230119069,0.262014725830448
"FAM138E",2.49256326024908,-0.00312291117287609,0.0762208036153753,-0.0409719003834556,0.96731829729032,0.997320867485265
"SNORA84",0.609672539013009,0.0618543883700871,0.069464899470618,0.890440911042418,0.373229183225249,NA
"SNORA38B",2.39675687032771,-0.0190236783693368,0.0332315445399421,-0.572458446716841,0.56701142941892,0.959479450807761
"SNORA70B",0.254687753096258,-0.018637930458496,0.134063511164311,-0.139023141320332,0.889431862488829,NA
"ZGLP1",389.471769780466,0.0117816007410834,0.00632467194792967,1.86280029036763,0.0624903691821325,0.687243118082728
"FAM86JP",89.9999120216482,0.00631153964139986,0.00641875350694509,0.983296777882306,0.325461395487062,0.899370335505408
"FMR1-AS1",47.9418518105531,0.00571150949914965,0.0125954508785436,0.453458121842959,0.650218892336162,0.97018960342486
"EGOT",18.1262742592455,0.00448088000822009,0.0103891662128412,0.431303139869074,0.666247967611339,0.97326606129283
"GHRLOS",387.387906901505,0.00158619302635576,0.00514503794117953,0.308295690817027,0.75785734469853,0.985266152607803
"SLCO4A1-AS1",312.796381736649,-0.0175665229324365,0.00991359497240419,-1.77196294395073,0.0764007086321176,0.716945918683872
"LOC100127892",49.4259942512889,0.00664207657054644,0.00657902823089896,1.00958322983801,0.312695007567722,0.895072301699934
"RPL7P24",18.9112943514009,-0.00898191242977342,0.0112687192164771,-0.797065953745663,0.42541272819327,0.927698659438396
"SLC66A2P2",0.660679473007274,0.00592298082812164,0.0445313387188823,0.133007023784133,0.894187825681054,NA
"HNRNPCP7",135.892154718075,-0.00369781143884935,0.00407048335384199,-0.908445291972296,0.363643005560354,0.912357483067875
"ST13P12",0.958965879077955,0.00876443592754193,0.0304403989126486,0.287921191594507,0.773407064936553,NA
"RPS15AP14",0.979885656180195,0.00294840864716753,0.0274261486862849,0.107503560959033,0.914389500459323,NA
"SOCS5P3",0.97623073141009,0.0159944113159949,0.0230690598481728,0.693327401344521,0.488104110799587,NA
"RPL15P16",21.6071928202419,0.00177859435368068,0.0086031129507113,0.206738463608527,0.836214116650443,0.991434068048719
"AGGF1P9",0.0997749139365513,-0.0197617961319745,0.134135478315622,-0.147327138055711,0.882873813122481,NA
"RPS3AP48",5.4402070141888,-0.00425482655824061,0.0157831700554051,-0.26957997305386,0.787483409284014,0.988399626681353
"LOC100127965",5.56942851291595,0.0164937340793001,0.0178303063569636,0.92503929820917,0.354945466155514,0.910009556552583
"KRT73-AS1",11.7645306805833,0.0131709070621873,0.0356774832490007,0.369165811676366,0.712004137173397,0.981516611473678
"LOC100127978",0.0975277101567629,0.0210800706962432,0.134137554602678,0.15715263901063,0.875124553002061,NA
"LOC100127981",0.276732048690111,0.0148877534009689,0.059689240210856,0.249421057268898,0.803035098402188,NA
"C8orf88",17.183619726261,0.0353566356273911,0.014035669695138,2.51905583384017,0.011766999594485,0.410748947691003
"LOC100127986",4.32702228643298,-0.00134447533659649,0.0127951989353773,-0.105076548116744,0.9163150681625,0.994871112462929
"RPL34P7",0.54493488474307,0.00202911954543635,0.0298654205092095,0.0679421053124176,0.945831720978528,NA
"RPL18AP11",63.860683620204,-0.018981298310493,0.00665704046612478,-2.85131184151303,0.00435392462018824,0.274787678104925
"ARHGAP44-AS1",2.84362991899483,-0.0304315205431395,0.0434192480924367,-0.700876267556564,0.483380236333196,0.943167784483915
"LOC100128007",15.6794113475559,0.0180046131089413,0.0165743378795109,1.08629456210124,0.277348692107745,0.884896910092632
"WHSC1L2P",12.3366872566465,-0.0024429761391693,0.00849815176103804,-0.28747146530964,0.773751347660849,0.987951433247635
"WWTR1-AS1",1.45422885765302,0.0455747062385221,0.0797510516941314,0.571462134610016,NA,NA
"FAF2P1",0.400245171425187,0.0425789726322774,0.0458657505480307,0.928339166448144,0.353231663534339,NA
"LOC100128052",11.8870385870843,0.0145611421646797,0.0199634344107599,0.729390638157508,0.465762742799285,0.938370130853044
"PLCE1-AS1",1.50406063439267,-0.0374927471427063,0.0349666872784109,-1.07224189824396,0.283611395998812,NA
"SMARCA5-AS1",355.786228008326,-0.0227077363576578,0.00934971706334274,-2.42870839874798,0.0151527139724775,0.458223345087505
"LOC100128059",3.40523062811052,-0.0158785072534927,0.0190473231389591,-0.833634581492189,0.404486932380909,0.921760474746654
"RPS7P10",2265.13090592429,0.00367638694812796,0.00359210252678198,1.02346381282761,0.30608860122377,0.894300279647248
"FAM229A",7807.82126286289,-0.00197826982140804,0.00284606161690544,-0.695090299400838,0.486998713636433,0.94443835297058
"RPL36AP27",0.186649538184176,-0.0266129243254973,0.0787391599701875,-0.337988420699097,0.735371913782787,NA
"RPS15AP40",2.57462336377374,-0.0372604191422592,0.0251005099575411,-1.48444869069542,0.137689925590517,0.798997526881566
"ST8SIA6-AS1",0.475191054529612,-0.0253636373057266,0.0762689468679941,-0.332555231811787,0.739470041399404,NA
"LOC100128108",970.40224430087,-0.00230061188215958,0.00348395739359164,-0.660344436585622,0.509032820002775,0.948195327594409
"RPL26P35",4.04245940260293,-0.00943578539084608,0.0114812153135085,-0.821845521853788,0.411164821781593,0.923539010957291
"RPL17P15",4.12392359730777,0.0109716190535439,0.0393315612027745,0.278952035414499,0.78028163433125,0.98814332274812
"STAU2-AS1",26.8800304210937,0.00028256606915876,0.0116364866548265,0.0242827648533897,0.980627060732805,0.998957296372428
"GVINP2",1.85521336189976,0.0151048727537366,0.022340171560573,0.676130562058634,0.498957754166324,NA
"RPS4XP17",59.872958109436,0.00171397444245165,0.00620650852507087,0.276157590943143,0.782427028589199,0.988390748318524
"LOC100128164",1378.11153470257,0.00734082323296046,0.0116531959708404,0.629940769152883,0.528733337681076,0.949717476997691
"TMPO-AS1",2158.21081038725,0.00311586761554027,0.00350709687776565,0.888446405713597,0.374300672649814,0.915543216734926
"LINC02324",7.75623112275935,0.0094393296216894,0.0242346880364529,0.389496642477557,0.696908793871021,0.978603622053878
"YRDCP2",24.1159546875728,-0.00139795257675324,0.00960165304779682,-0.145594989716277,0.884241123464599,0.99273965639397
"LINC02731",10.4139329458636,0.0212197963409828,0.0296872488821698,0.714778133373194,0.474746148940963,0.939688823444496
"CD83P1",0.179923719054211,-0.017847373199885,0.0785847405168202,-0.227109908138782,0.8203382797623,NA
"LOC100128248",0.244298040952772,0.00381244424594843,0.0552918061630047,0.0689513421701045,0.945028350588108,NA
"RPL31P55",0.368183681033614,0.0318636367384349,0.0369033523660682,0.863434747671674,0.387898481580857,NA
"ZNF667-AS1",548.289552137558,0.0632944338984536,0.0334805780061179,1.89048211434366,0.0586935104269654,0.678143650066837
"RPS18P3",2.63154419973998,0.00227543320472203,0.0194941416384147,0.116723949529438,0.907078811022709,0.994871112462929
"WASIR1",15.0928180561156,0.00620088805471539,0.0103284569043382,0.600369262528549,0.548260168046916,0.956269830020492
"SYF2P2",2.72456243170825,-0.0203586043616348,0.016678805238189,-1.2206272614192,0.222227179651376,0.866372772172022
"SOCS5P2",0.584745686314397,0.00727930717304158,0.0345825703963826,0.210490634143349,0.833284760798547,NA
"RPS13P1",8.02754191482757,-0.00188793699871396,0.00851131699894451,-0.221814908192009,0.82445797348178,0.991434068048719
"LOC100128310",1.60463823136843,-0.00389903106347974,0.0225233523645606,-0.173110600960747,0.862564492392978,NA
"LOC100128325",42.8275785662332,0.00696995562097776,0.0121339370315518,0.57441831145603,0.565684764500469,0.959479450807761
"TRAPPC3L",18.9210464272013,0.0382827204054215,0.0265444044174027,1.44221432899519,0.149241919517458,0.812554211734513
"RBMX2P1",2.23169584482213,0.0117133061655408,0.0368700862444942,0.317691314521672,0.750719100178111,0.984737557796294
"RPL21P52",1.7916714023767,0.00161668426158327,0.0207154065148956,0.078042603722055,0.937794163447344,NA
"RPS27AP20",2.60519442140819,-0.00109779320813635,0.0122908812538996,-0.0893176970356009,0.928829430079255,0.995083742430985
"LOC100128362",0.0991087663963837,-0.00144919912165056,0.134143414623047,-0.0108033564355202,0.991380336366004,NA
"VN1R21P",0.0873762236208189,-0.00178646221781784,0.134144563062779,-0.0133174403571003,0.989374534029119,NA
"TFGP1",8.50106147752425,-0.0066993651340646,0.00878350033244162,-0.762721566631093,0.445629465819306,0.934471190235719
"FAM225B",2.98220073896194,0.00235342785460702,0.0292665583393736,0.0804135500770808,0.935908350401654,0.995957069082324
"ARHGAP42-AS1",9.5059663213116,-0.00138578720554008,0.0120820423888961,-0.114698091674772,0.908684426569459,0.994871112462929
"LOC100128398",11064.5666073773,0.000510195945916234,0.0056175213815664,0.0908222526024404,0.927633828103698,0.995083742430985
"XIAPP3",2.70021586833057,0.0107645141292776,0.0182731944669781,0.589087701591004,0.555802442995216,0.958580732857438
"LINC00892",11.3693621739759,0.00367833052871322,0.0193339348427481,0.190252556379795,0.849111229085444,0.992101072327533
"UBTFL9",0.190719348795413,-0.0129352278593624,0.134127633975324,-0.096439693119034,0.923171368473548,NA
"RPS6P8",5.20631735563105,-0.0168135152710018,0.0216971893241802,-0.774916742430973,0.438388858299166,0.932747175824173
"LOC100128494",15493.9516521128,-0.0025092021091326,0.00324292620098464,-0.773746287649327,0.439080841467036,0.932747175824173
"ASTN2-AS1",0.718144876048099,0.0429947013883817,0.0357178320546098,1.20373211125037,0.228693136736631,NA
"KIAA1671-AS1",0.0947866627280344,-0.0208206747920627,0.134139339256239,-0.1552167686788,0.876650429005172,NA
"RPS18P14",122.145435662392,-0.0142542325352256,0.00983192844612938,-1.44979010102918,0.147117060791877,0.809210483582503
"ATP6V1G1P2",0.233848840251418,-0.03197338881851,0.0942251514415795,-0.339329662296524,0.734361399534484,NA
"LOC100128548",1.59943997130927,0.0056613056384713,0.0209708616181197,0.269960564404264,0.787190592567843,NA
"CTAGE4",62.1375369173341,0.0113471700493269,0.0116650726064567,0.972747485776141,0.330678818265229,0.899801021259416
"LINC02347",7.26752651350172,0.0094919234776019,0.134145026305803,0.070758668725918,NA,NA
"RANBP3-DT",0.904917073637727,-0.00129230313474329,0.0313380836899143,-0.041237465172741,0.967106586174263,NA
"C19orf71",347.164477596696,0.00181336646581752,0.00601440197688633,0.301504035278384,0.763030173380905,0.986433924149756
"SLC8A1-AS1",3.85312836567907,-0.0476052450550513,0.0518851282225092,-0.917512333223817,0.358874233131806,0.910009556552583
"LOC100128601",4.55034224504826,-0.00231829949463232,0.00938518122284536,-0.247017019659581,0.804895052366187,0.990043322738791
"RPS15AP13",0.13527221082014,-0.00377394010775656,0.087131325771575,-0.0433132409536656,0.965451836373625,NA
"LOC100128610",0.127660366344718,-0.0137168380394977,0.108724747385267,-0.126161139661166,0.899604371578482,NA
"EEF1A1P26",0.534393258045837,-0.00951102820415875,0.0306499789336131,-0.310311084544604,0.756324402681301,NA
"ACVR2B-AS1",18.8352108113851,0.00557478365934648,0.0114817525470856,0.485534210608077,0.627297451425811,0.964842706684001
"RPL10AP7",7.23037002619665,0.00378482319787003,0.0108426118536798,0.349069324711235,0.72703726515261,0.982261089310152
"RPL27P3",0.412653341014128,0.0144748826017642,0.0403677755379674,0.358575185500375,0.719912913021133,NA
"RPL22P20",4.53477060988701,-0.0123343755593998,0.0115462775016698,-1.06825559645661,0.285405232250254,0.886101349484092
"LOC100128674",0.380780179670396,-0.0155558448483477,0.0424735155414184,-0.366248111324298,0.714179944741217,NA
"HPN-AS1",0.231937461453879,0.0272792365942416,0.118726299811774,0.2297657438789,0.818273805016876,NA
"BTBD10P1",5.49113488488432,-0.0255837632812116,0.00953634298958003,-2.6827645890218,0.00730163677103278,0.341186786517766
"CCNG2P1",0.396424264958097,-0.0100929160960839,0.0517547553781689,-0.195014274965374,0.845381772364898,NA
"RPL9P30",3.1400283599028,0.000203601457735712,0.013270295316868,0.015342647083137,0.987758819028247,0.998957296372428
"OST4",13439.9987762494,0.000968445667113621,0.00253308977309321,0.382317941274948,0.702225548455159,0.979881687727722
"LRRFIP2P1",0.0810148692041237,-0.0121962240531083,0.13413991080379,-0.0909216651481758,0.927554835192969,NA
"RPL8P2",12.1072244929032,-0.0128438943072269,0.00744833640377098,-1.724397719298,0.0846360690201808,0.732756405732407
"LOC100128770",5.70605585600839,0.0248538620525995,0.0159630161182682,1.55696529205133,0.119478726067711,0.779673974761492
"EIF4BP3",1529.80117335018,0.0039596233190248,0.00315123622682409,1.25653014690537,0.208923822867977,0.860647062219315
"LINC00476",1881.13260075323,-0.00499455173143442,0.00387879737292498,-1.28765471645869,0.197866183367218,0.854688077560621
"SRRM2-AS1",250.754722376692,0.00208024912167149,0.00418868667133804,0.496635171092178,0.619446346326306,0.964136130185
"LOC100128803",0.138118061851927,-0.00596028375619189,0.122935050958144,-0.0484831926268221,0.961331159029382,NA
"GPR158-AS1",3.32294437363564,-0.0272497255724674,0.021242750014307,-1.28277767963727,0.199569976094618,0.856880931693964
"AK6P2",0.172563589395836,-0.0293670479032919,0.0723320683982206,-0.406003153976091,0.68474028299478,NA
"LINC01003",392.054738787263,0.00521280318339733,0.00523150382152312,0.996425380012367,0.319043506512571,0.895765378702492
"LOC100128833",1.31383351093877,0.0282804443869339,0.0197346668121766,1.43303379054185,0.151848180923293,NA
"RPS15AP29",9.64422045852113,0.000478048868782033,0.0141995688535922,0.0336664354890675,0.973143144391107,0.998512011599151
"VPS9D1-AS1",457.188485876652,0.00618329017345839,0.00567020199498536,1.09048851856191,0.275498008180452,0.883282382811226
"ZFPM1-AS1",20.1458224805129,0.00047660508381339,0.00862320186752404,0.055270083100842,0.955923295948819,0.996812034161619
"RPSAP36",293.095672042178,-0.00582804585447583,0.00825774008019744,-0.705767655299763,0.48033263964733,0.942185228588063
"FAM66B",205.429562481437,-0.00418554022357005,0.00788369438269886,-0.530911019680749,0.595480441110123,0.961725048033864
"RPL7L1P9",0.96583528095642,0.0142928842132648,0.0250339945157756,0.570939016714167,0.568040981802737,NA
"LINC01960",0.445187934521301,0.00272086978331541,0.0414537672100124,0.0656362489211411,0.947667428859848,NA
"LOC100128906",0.100758913459924,0.00557342757410423,0.126320327050155,0.0441213833454635,0.964807647935574,NA
"RPS6P16",54.5364772439879,0.000500274525524241,0.00640440136265947,0.0781141744864814,0.937737232037781,0.995957069082324
"ZBTB42",560.231198131301,0.00597344909659482,0.00624007414540553,0.95727213449747,0.338429916278407,0.902967970680762
"SDCBPP1",0.17619836939583,-0.00195995912477418,0.0720343847898982,-0.0272086605652393,0.978293308132462,NA
"RPL10AP6",4516.74435300296,-0.00152970775847188,0.00262777423827374,-0.582130586483253,0.560478724200765,0.959479450807761
"GAPDHP62",84.7343736707298,-0.000494604965730158,0.00945059117803936,-0.0523358757576444,0.958261067753989,0.996812034161619
"RPL3P9",53.3104356170496,-0.0216601415201897,0.00651221767629432,-3.32607762775446,0.000880773951848129,0.135734325334488
"LOC100128966",17221.2577894314,-0.01148597593544,0.00568216511142107,-2.02140833823244,0.0432375122622465,0.623616419585407
"NPM1P38",0.259356809990422,0.00980240148625368,0.055053818098564,0.178051256476058,0.858682721954407,NA
"DCAF13P1",9.60307056498458,-0.0134824510654416,0.00782402413633574,-1.72321184476252,0.0848502225283168,0.732756405732407
"ACTR3P2",4.15815147698997,0.00318588538026504,0.0115673371966134,0.275420810002649,0.782992958026619,0.988399626681353
"RPL24P5",2.50314127177596,0.0136437158225985,0.0140249191709422,0.972819568961686,0.330642985039403,0.899801021259416
"PKP4-AS1",5.02368218945257,0.0100633425394911,0.0318312175292858,0.316146956371761,0.75189096702852,0.98510701591496
"GLYATL1P1",535.228040047151,0.0119526742350518,0.00646207798351402,1.84966418937458,0.0643619649288097,0.691733705069212
"EIF3KP2",0.10944225681324,-0.00833492021529478,0.125520162930987,-0.0664030385291759,0.947056951147921,NA
"KDM4F",0.314502673198916,0.0206599987991878,0.053338044052192,0.387340765232631,0.698503950056058,NA
"SEMA3F-AS1",8872.72902635305,-0.00275583026445743,0.00572522220511313,-0.481349049124457,0.630268442145523,0.965989420685073
"RPL7P25",5.36691851947824,-0.0201900402363314,0.0144122116374661,-1.40089812335569,0.16124454004867,0.822310719203498
"THAP12P5",0.475881485705588,-0.0493913540890505,0.118898739345487,-0.415406877826793,0.677844072587453,NA
"KTN1-AS1",127.712943717293,0.00495372120131373,0.00583615079633953,0.848799384077042,0.395992932964925,0.919598587639092
"RPS5P4",11.5425710422994,0.014505812703902,0.00866128869137704,1.67478688458262,0.0939760530758623,0.74835674622545
"RPL22P4",0.106068518194986,0.035608179298018,0.110387297631774,0.322574970689097,0.747017151706711,NA
"KHDC1L",5.33394089616005,-0.00571869564255813,0.0335370422340079,-0.17051878345906,0.864602163617553,0.99273965639397
"TDH-AS1",6.23035117581246,0.00253090435843408,0.0135173276923274,0.187234075849966,0.851477108576192,0.992169930858573
"LOC100129135",0.0916263234572497,-0.00854521952720574,0.134134870648514,-0.0637061748812325,0.949204187892871,NA
"RPL21P37",205.906621157059,0.000399783064749759,0.00325781044447749,0.122715262770262,0.902332577276271,0.994733543286514
"LOC100129144",0.106916464598301,-0.0144586023979285,0.13412864049694,-0.107796532823714,0.914157093270621,NA
"LOC100129175",0.114225505715234,0.0226184818158924,0.12479019594399,0.181252073889237,0.856169722371339,NA
"RPL13P6",1.29462272499056,-0.0150889179939322,0.0214554868485487,-0.703266166852457,0.481889891150886,NA
"RPL36AP11",4.44408648103077,0.0121501373927375,0.0121105751123011,1.00326675488732,0.315732172000456,0.895072301699934
"ZSCAN16-AS1",1583.01752144731,-0.00432283192568783,0.00354529171399382,-1.21931628605481,0.222724169604123,0.866372772172022
"MATN1-AS1",7006.22108306559,-0.000148058297723754,0.0059085425207154,-0.0250583451341274,0.980008425507213,0.998957296372428
"RPS3AP40",0.228585033249462,-0.0181412224915798,0.0784284895839134,-0.231309089182062,0.817074685995404,NA
"SLC39A12-AS1",0.652236009353579,-0.00809739520109439,0.106995750901802,-0.0756795959918629,NA,NA
"LOC100129215",53.1488515030016,-0.00273759565817314,0.00561150640129359,-0.487853966903086,0.62565328250188,0.964492430400539
"DEFB131B",0.935631415284642,-0.0389477899307062,0.0520671390365796,-0.748030152057012,0.454441970697835,NA
"RPS6P22",2.36568470759945,-0.0118832208469394,0.0201410470764852,-0.590000152515066,0.555190547256808,0.958355714632078
"HNRNPCP10",0.115634810143675,0.00558554312756984,0.0976537175688884,0.0571974448758656,0.954387913523857,NA
