"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAP7D2",406.211540246286,-5.5013261790362,0.504095128806524,-10.9132698664653,9.96077822924617e-28,8.47697801516811e-25
"TXLNG",9283.45932840796,-0.809565915406042,0.0748942014141084,-10.8094605472826,3.10490526485341e-27,2.55126853642041e-24
"UTY",10167.0327879102,6.90533031842555,0.651319234273785,10.6020672429933,2.91465176566519e-26,2.31510789746786e-23
"KDM5C",41138.645627913,-0.628912604255882,0.0605242236367385,-10.3910891617638,2.72226477386163e-25,2.09254346117254e-22
"SMC1A",20289.7060043343,-0.494149575606317,0.0476705086970797,-10.3659387976405,3.54262454711761e-25,2.63803751041455e-22
"IGHV1.69",2304.84716867279,5.10380385667964,0.500892625195901,10.1894170525739,2.21085925346264e-24,1.59644136820489e-21
"PNPLA4",776.124470868771,-0.767200304828766,0.0789035784401654,-9.72326376059805,2.39964080378555e-22,1.68179531510017e-19
"CXorf38",4875.20776651305,-0.586590069250097,0.0617909099427355,-9.49314502398034,2.24166806762459e-21,1.52619166809789e-18
"MSLN",25.2556170979647,-26.9128736713574,2.9218358806076,-9.21094639503189,3.23262059152199e-20,2.13972544653826e-17
"TAB3P1",5.84678524597114,5.75432652723471,0.637006262200479,9.03339082940398,1.66432997270781e-19,1.07187348431498e-16
"EIF1AX",16950.7272028394,-0.591669263022396,0.0673590431899533,-8.78381335307691,1.58023828880764e-18,9.90934162736771e-16
"PRKX",13927.9727336759,-0.626299291321923,0.0713837926136577,-8.77369033488555,1.72904302909161e-18,1.05644529077498e-15
"JPX",3338.75617538287,-0.62693448812885,0.0728625128791186,-8.60434897666728,7.67511341442361e-18,4.57225693880751e-15
"EIF2S3",36657.3376997575,-0.440289681192975,0.0513829896415026,-8.56878286500768,1.0458452303555e-17,6.07840146198566e-15
"DDX3X",158942.77106565,-0.657927148936964,0.0794220036780981,-8.28394045060334,1.19165212157017e-16,6.76092342973706e-14
"TRAPPC2",7801.76095098385,-0.479219053214265,0.0595503705204397,-8.04728919444391,8.46479991132752e-16,4.69087714155868e-13
"INE1",1782.34742034294,-0.633218568865673,0.0794807153025902,-7.96694602527108,1.62643658018227e-15,8.80826301571892e-13
"PUDP",1518.05724305183,-0.698518073258772,0.0896618987955256,-7.79057863643671,6.67030109527243e-15,3.53214677331659e-12
"XGY2",37.3823210703172,-1.6058089439442,0.207244572421909,-7.74837635156539,9.30749393942634e-15,4.71889942728916e-12
"XG",37.3823210703172,-1.6058089439442,0.207244572421909,-7.74837635156539,9.30749393942634e-15,4.71889942728916e-12
"RPS4X",223344.704465361,-0.412690016465369,0.0533588093210475,-7.73424335581233,1.04019890862778e-14,5.16393745701906e-12
"RIBC1",218.353913763689,-0.480160321561004,0.0639970513932939,-7.50285069557624,6.24446655937906e-14,3.03672231925395e-11
"TCEANC",2200.50471405467,-0.455060958298872,0.0623369151234173,-7.30002370823007,2.8771702562542e-13,1.37120180072563e-10
"IGHV2.5",231.918994761648,-3.2813984754049,0.455140835344249,-7.20963319611389,5.61027962045337e-13,2.62132064854477e-10
"NLGN4Y",5.4239054917752,4.77555683695061,0.672212146838434,7.10424061720862,1.20985912329223e-12,5.54417943248664e-10
"FUNDC1",1009.6369007857,-0.52087619964966,0.0759425611367118,-6.85881792572123,6.94326644814099e-12,3.12171879608965e-09
"OFD1",32733.2164487304,-0.329374702733285,0.049371323148855,-6.67137685859091,2.53414542850547e-11,1.11826206325661e-08
"USP9X",36089.1698079064,-0.532941753130417,0.0828805560590611,-6.43023862859511,1.27403775586245e-10,5.51982648808114e-08
"IGHG4",556.4723019029,-1.72604722618045,0.268671717078694,-6.42437263195399,1.32414476677585e-10,5.63447243705386e-08
"GEMIN8",1980.26875152475,-0.299428685329016,0.0485760055556042,-6.16412736914451,7.08728806070912e-10,2.9628594245375e-07
"EIF2S3B",2071.24793360555,-0.426377429208199,0.069643532525302,-6.12228320057276,9.22438812380697e-10,3.78979214831373e-07
"MED14",16120.380618245,-0.39622520382764,0.0660149382505075,-6.00205369160659,1.94837245429647e-09,7.86911308702214e-07
"THRB",234.723235433466,-2.67499500169966,0.452548531061095,-5.91095720811991,3.40125391872289e-09,1.35080799382079e-06
"IGHV4.39",120.538552436964,-2.3712113282204,0.404483931822579,-5.86231279333118,4.56464112443128e-09,1.78312841564054e-06
"IGLV8.61",134.030313122566,2.39167240980031,0.417934525972162,5.72260069741071,1.04905627232474e-08,4.03192934084294e-06
"IGHV3.7",3498.52310679603,3.06344820096856,0.540845136652828,5.66418738629615,1.47722907180107e-08,5.58744310348375e-06
"OVCH1.AS1",107.928980946724,7.04538993335209,1.24894587891485,5.64106904253808,1.68997573727466e-08,6.29225497554968e-06
"NYX",4.79507381499205,-3.28866826007871,0.600433497726168,-5.47715654195318,4.32214829995635e-08,1.584499566764e-05
"CDK16",17201.9898742148,-0.547526859524147,0.101340297603453,-5.4028542689566,6.55887456153228e-08,2.36805184737504e-05
